uid,age,age_group,profession,marital_status,education,default,housing,loan,gender,balance,membership,charges,customer_contacts,attrition
1000001,69,60s,retired,married,high school,no,no,no,female,$50k - $100k,gold,74,5,0
1000002,46,40s,management,married,high school,yes,no,no,male,$10k - $50k,silver,149,1,0
1000003,45,40s,management,married,high school,no,no,no,female,$100k - $250k,platinum,58,5,1
1000004,54,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,317,4,1
1000005,36,30s,management,single,high school,no,yes,no,male,$50k - $100k,gold,139,8,0
1000006,25,20s,student,married,graduate,no,no,no,male,Over $250k,platinum,21,8,0
1000007,54,50s,management,single,high school,no,yes,yes,female,Over $250k,platinum,128,0,0
1000008,49,40s,manufacturing,single,graduate,no,yes,yes,male,$50k - $100k,gold,40,0,0
1000009,30,30s,entrepreneur,married,graduate,no,no,yes,male,$100k - $250k,platinum,126,0,0
1000010,43,40s,technician,married,high school,no,no,no,female,$100k - $250k,platinum,102,1,0
1000011,32,30s,technician,single,graduate,no,no,no,male,$10k - $50k,silver,142,1,0
1000012,33,30s,administration,single,high school,no,yes,no,female,Over $250k,platinum,140,0,0
1000013,53,50s,management,divorced,high school,no,yes,no,male,$50k - $100k,gold,258,4,1
1000014,24,20s,unemployed,divorced,high school,no,yes,no,female,$10k - $50k,silver,245,3,1
1000015,46,40s,manufacturing,married,graduate,no,yes,no,male,Over $250k,platinum,87,0,0
1000016,32,30s,technician,single,high school,no,no,no,male,$100k - $250k,platinum,130,2,0
1000017,53,50s,manufacturing,divorced,college,no,yes,no,female,$50k - $100k,gold,262,4,1
1000018,27,20s,technician,married,graduate,no,yes,no,male,Over $250k,platinum,33,1,0
1000019,36,30s,manufacturing,single,college,no,yes,no,male,$10k - $50k,silver,58,0,0
1000020,47,40s,administration,married,graduate,no,no,no,male,Over $250k,platinum,96,1,0
1000021,26,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,324,3,1
1000022,38,30s,management,married,high school,no,no,no,female,$100k - $250k,platinum,31,1,0
1000023,48,40s,management,single,high school,no,no,no,female,$100k - $250k,platinum,173,1,0
1000024,29,20s,manufacturing,married,graduate,no,no,no,male,$10k - $50k,silver,69,7,0
1000025,41,40s,technician,married,graduate,no,yes,yes,female,$10k - $50k,silver,133,0,0
1000026,56,50s,consulting,married,graduate,no,no,no,male,Over $250k,platinum,92,1,0
1000027,55,50s,technician,divorced,graduate,no,yes,no,male,$50k - $100k,gold,201,4,1
1000028,46,40s,self_employed,single,high school,no,yes,no,female,Over $250k,platinum,20,0,0
1000029,51,50s,consulting,married,graduate,no,no,no,female,Over $250k,platinum,164,1,0
1000030,28,20s,unemployed,married,graduate,no,yes,no,male,$100k - $250k,platinum,72,0,0
1000031,47,40s,manufacturing,married,college,no,no,yes,female,$50k - $100k,gold,97,1,0
1000032,34,30s,technician,single,college,no,yes,no,male,$50k - $100k,gold,65,0,0
1000033,24,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,362,3,1
1000034,47,40s,technician,married,graduate,no,yes,no,male,$50k - $100k,gold,4,0,0
1000035,37,30s,technician,married,graduate,no,no,no,female,Over $250k,platinum,10,1,0
1000036,39,30s,technician,married,graduate,no,no,no,male,$10k - $50k,silver,113,2,0
1000037,42,40s,manufacturing,single,graduate,no,yes,no,male,$10k - $50k,silver,128,0,0
1000038,37,30s,manufacturing,single,high school,no,yes,no,male,Over $250k,platinum,146,0,0
1000039,40,40s,management,married,graduate,no,no,yes,male,Over $250k,platinum,14,1,0
1000040,42,40s,unemployed,married,graduate,no,yes,no,male,$50k - $100k,gold,103,0,0
1000041,45,40s,executive,married,graduate,no,yes,no,female,Over $250k,platinum,9,0,0
1000042,46,40s,administration,single,graduate,no,yes,no,female,$10k - $50k,silver,177,0,0
1000043,30,30s,administration,single,graduate,no,no,no,female,$100k - $250k,platinum,176,5,0
1000044,31,30s,technician,married,graduate,no,yes,no,male,$100k - $250k,platinum,84,2,0
1000045,54,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,309,3,1
1000046,51,50s,manufacturing,married,graduate,no,no,no,male,Over $250k,platinum,80,1,0
1000047,55,50s,manufacturing,divorced,college,no,yes,yes,male,$50k - $100k,gold,265,4,1
1000048,52,50s,unemployed,married,graduate,no,no,no,male,$50k - $100k,gold,71,1,0
1000049,22,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,354,3,1
1000050,58,50s,technician,married,graduate,no,no,no,male,$100k - $250k,platinum,162,1,0
1000051,38,30s,administration,married,graduate,no,no,yes,female,Over $250k,platinum,154,0,0
1000052,41,40s,management,divorced,high school,no,no,no,male,$100k - $250k,platinum,88,9,0
1000053,56,50s,technician,married,college,no,no,no,male,$100k - $250k,platinum,150,2,0
1000054,26,20s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,358,3,1
1000055,47,40s,management,married,graduate,no,yes,yes,male,$10k - $50k,silver,49,1,0
1000056,26,20s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,310,3,1
1000057,52,50s,administration,married,graduate,no,no,no,male,$50k - $100k,gold,121,1,0
1000058,39,30s,management,single,high school,no,yes,no,female,Over $250k,platinum,97,0,0
1000059,44,40s,unemployed,single,graduate,no,yes,no,female,$10k - $50k,silver,24,0,0
1000060,59,50s,manufacturing,married,college,no,no,no,female,$10k - $50k,silver,67,2,0
1000061,30,30s,management,single,high school,no,no,no,female,$100k - $250k,platinum,109,1,0
1000062,49,40s,manufacturing,single,college,no,yes,no,female,$10k - $50k,silver,50,0,0
1000063,34,30s,technician,married,graduate,no,yes,no,female,$50k - $100k,gold,152,2,0
1000064,54,50s,technician,married,graduate,no,yes,no,female,$100k - $250k,platinum,4,1,1
1000065,42,40s,administration,married,graduate,no,yes,no,female,$100k - $250k,platinum,23,0,0
1000066,36,30s,technician,divorced,graduate,no,yes,no,male,Over $250k,platinum,87,2,0
1000067,33,30s,self_employed,married,graduate,no,yes,no,female,Over $250k,platinum,12,0,1
1000068,26,20s,unemployed,divorced,graduate,no,yes,yes,female,Under $10k,silver,302,3,1
1000069,43,40s,technician,married,graduate,no,no,no,male,$10k - $50k,silver,69,1,0
1000070,39,30s,consulting,divorced,graduate,no,yes,yes,female,$50k - $100k,gold,170,1,0
1000071,37,30s,manufacturing,single,college,no,yes,no,male,$50k - $100k,gold,44,0,0
1000072,25,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,331,3,1
1000073,49,40s,management,divorced,high school,no,no,no,male,$10k - $50k,silver,167,1,0
1000074,54,50s,manufacturing,married,graduate,no,no,no,female,Over $250k,platinum,33,1,0
1000075,47,40s,executive,divorced,graduate,no,no,no,female,$50k - $100k,gold,12,1,0
1000076,43,40s,self_employed,married,graduate,no,no,no,female,$100k - $250k,platinum,94,2,0
1000077,33,30s,administration,single,graduate,no,yes,no,female,$50k - $100k,gold,141,2,0
1000078,56,50s,administration,divorced,graduate,no,no,no,male,$50k - $100k,gold,328,4,1
1000079,31,30s,administration,married,college,no,yes,no,male,$10k - $50k,silver,138,0,0
1000080,52,50s,technician,married,graduate,no,yes,no,female,$100k - $250k,platinum,60,1,0
1000081,38,30s,management,single,high school,no,yes,no,female,$50k - $100k,gold,32,1,0
1000082,58,50s,manufacturing,married,graduate,no,no,no,female,$10k - $50k,silver,148,1,0
1000083,33,30s,manufacturing,married,college,no,no,no,female,$100k - $250k,platinum,174,8,0
1000084,59,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,361,4,1
1000085,23,20s,unemployed,divorced,college,no,yes,no,female,Under $10k,silver,338,3,1
