number_people,date,timestamp,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester
37,2015-08-14 17:00:11-07:00,61211,0,0,71.76,0,0
45,2015-08-14 17:20:14-07:00,62414,0,0,71.76,0,0
40,2015-08-14 17:30:15-07:00,63015,0,0,71.76,0,0
44,2015-08-14 17:40:16-07:00,63616,0,0,71.76,0,0
45,2015-08-14 17:50:17-07:00,64217,0,0,71.76,0,0
46,2015-08-14 18:00:18-07:00,64818,0,0,72.15,0,0
43,2015-08-14 18:20:08-07:00,66008,0,0,72.15,0,0
53,2015-08-14 18:30:09-07:00,66609,0,0,72.15,0,0
54,2015-08-14 18:40:14-07:00,67214,0,0,72.15,0,0
43,2015-08-14 18:50:15-07:00,67815,0,0,72.15,0,0
39,2015-08-14 19:00:16-07:00,68416,0,0,69.97,0,0
38,2015-08-14 19:20:07-07:00,69607,0,0,69.97,0,0
45,2015-08-14 19:30:08-07:00,70208,0,0,69.97,0,0
41,2015-08-14 19:40:14-07:00,70814,0,0,69.97,0,0
36,2015-08-14 19:50:16-07:00,71416,0,0,69.97,0,0
42,2015-08-14 20:00:17-07:00,72017,0,0,68.8,0,0
35,2015-08-14 20:21:14-07:00,73274,0,0,68.8,0,0
36,2015-08-14 20:31:14-07:00,73874,0,0,68.8,0,0
48,2015-08-14 20:41:15-07:00,74475,0,0,68.8,0,0
40,2015-08-14 20:51:17-07:00,75077,0,0,68.8,0,0
49,2015-08-14 21:01:18-07:00,75678,0,0,68.04,0,0
37,2015-08-14 21:20:06-07:00,76806,0,0,68.04,0,0
48,2015-08-14 21:30:07-07:00,77407,0,0,68.04,0,0
45,2015-08-14 21:40:08-07:00,78008,0,0,68.04,0,0
45,2015-08-14 21:50:09-07:00,78609,0,0,68.04,0,0
38,2015-08-14 22:00:10-07:00,79210,0,0,67.55,0,0
41,2015-08-14 22:20:07-07:00,80407,0,0,67.55,0,0
41,2015-08-14 22:30:08-07:00,81008,0,0,67.55,0,0
37,2015-08-14 22:40:09-07:00,81609,0,0,67.55,0,0
33,2015-08-14 22:50:11-07:00,82211,0,0,67.55,0,0
22,2015-08-14 23:00:11-07:00,82811,0,0,67,0,0
2,2015-08-14 23:20:06-07:00,84006,0,0,67,0,0
1,2015-08-14 23:30:07-07:00,84607,0,0,67,0,0
0,2015-08-14 23:40:08-07:00,85208,0,0,67,0,0
0,2015-08-14 23:50:09-07:00,85809,0,0,67,0,0
0,2015-08-15 00:00:10-07:00,10,1,0,66.76,0,0
1,2015-08-15 00:20:08-07:00,1208,1,0,66.76,0,0
0,2015-08-15 00:30:09-07:00,1809,1,0,66.76,0,0
0,2015-08-15 00:40:10-07:00,2410,1,0,66.76,0,0
0,2015-08-15 00:50:13-07:00,3013,1,0,66.76,0,0
0,2015-08-15 01:00:16-07:00,3616,1,0,66.32,0,0
0,2015-08-15 05:20:11-07:00,19211,1,0,65.07,0,0
1,2015-08-15 05:30:12-07:00,19812,1,0,65.07,0,0
0,2015-08-15 05:40:13-07:00,20413,1,0,65.07,0,0
1,2015-08-15 05:50:15-07:00,21015,1,0,65.07,0,0
1,2015-08-15 06:00:17-07:00,21617,1,0,65.32,0,0
0,2015-08-15 06:20:13-07:00,22813,1,0,65.32,0,0
0,2015-08-15 06:30:15-07:00,23415,1,0,65.32,0,0
0,2015-08-15 06:40:15-07:00,24015,1,0,65.32,0,0
0,2015-08-15 06:50:20-07:00,24620,1,0,65.32,0,0
0,2015-08-15 07:00:22-07:00,25222,1,0,66.8,0,0
0,2015-08-15 07:20:11-07:00,26411,1,0,66.8,0,0
0,2015-08-15 07:30:12-07:00,27012,1,0,66.8,0,0
3,2015-08-15 07:40:13-07:00,27613,1,0,66.8,0,0
2,2015-08-15 07:50:15-07:00,28215,1,0,66.8,0,0
6,2015-08-15 08:00:16-07:00,28816,1,0,67.8,0,0
15,2015-08-15 08:20:11-07:00,30011,1,0,67.8,0,0
22,2015-08-15 08:30:13-07:00,30613,1,0,67.8,0,0
18,2015-08-15 08:40:14-07:00,31214,1,0,67.8,0,0
21,2015-08-15 08:50:16-07:00,31816,1,0,67.8,0,0
26,2015-08-15 09:00:18-07:00,32418,1,0,69.55,0,0
23,2015-08-15 09:20:11-07:00,33611,1,0,69.55,0,0
23,2015-08-15 09:30:13-07:00,34213,1,0,69.55,0,0
28,2015-08-15 09:40:14-07:00,34814,1,0,69.55,0,0
23,2015-08-15 09:50:16-07:00,35416,1,0,69.55,0,0
22,2015-08-15 10:00:17-07:00,36017,1,0,70.36,0,0
30,2015-08-15 10:20:12-07:00,37212,1,0,70.36,0,0
32,2015-08-15 10:30:12-07:00,37812,1,0,70.36,0,0
36,2015-08-15 10:40:13-07:00,38413,1,0,70.36,0,0
29,2015-08-15 10:50:14-07:00,39014,1,0,70.36,0,0
34,2015-08-15 11:00:17-07:00,39617,1,0,72.84,0,0
36,2015-08-15 11:20:11-07:00,40811,1,0,72.84,0,0
32,2015-08-15 11:30:12-07:00,41412,1,0,72.84,0,0
27,2015-08-15 11:40:13-07:00,42013,1,0,72.84,0,0
26,2015-08-15 11:50:13-07:00,42613,1,0,72.84,0,0
36,2015-08-15 12:00:16-07:00,43216,1,0,76.95,0,0
37,2015-08-15 12:20:11-07:00,44411,1,0,76.95,0,0
38,2015-08-15 12:30:12-07:00,45012,1,0,76.95,0,0
30,2015-08-15 12:40:15-07:00,45615,1,0,76.95,0,0
34,2015-08-15 12:50:17-07:00,46217,1,0,76.95,0,0
