Varietal,Name,Excerpt,Price,Points,Location,Description,Alcohol,Year,Character Count,Country,Points Per Dollar,Points/Character,Characte/Dollar
Riesling,Eichinger 2014 Gaisberg Reserve Riesling (Kamptal),"This wines arrives on tiptoe, citrus-scented and fresh, but once it expands ...",$28.00,96,Austria,"This wines arrives on tiptoe, citrus-scented and fresh, but once it expands on your palate it soon fills the mouth with all manner of stone fruits. As befits this vintage, everything is tempered with grapefruit zestiness but both mirabelle and apricot richness not only lend flavor but also a beautiful texture that insinuates quince and blood orange zest. What a triumph, what a marvel. Irresistible now but with incredible concentration this is built to last. Drink now till 2020 at least.",13%,2014,491,Austria,3.42857142857143,0.195519348268839,17.5357142857143
Riesling,Loimer 2014 Steinmassl Riesling (Kamptal),The purity of the nose is glacial and utterly clean-cut. There is ...,$80.00,96,Austria,"The purity of the nose is glacial and utterly clean-cut. There is an enticing headiness to the lemon and bergamot aromas. This is uncompromisingly citric, with a life force that can revive every single nerve in our body. The citrus spectrum gets its full due in a wine that sparkles and glistens with purity and life itself.",12%,2014,324,Austria,1.2,0.296296296296296,4.05
Riesling,Hiedler 2014 Heiligenstein Reserve Riesling (Kamptal),"The heady fragrance of pure lemon zest hits home straight away, and ...",$50.00,94,Austria,"The heady fragrance of pure lemon zest hits home straight away, and the palate delivers the promised punch. Purity and freshness perform a high-wire act, all the while sending sparks of swirling tangerine and grapefruit in quick-fire flashes across the palate. Who needs fireworks when you can drink this? If you love acidity, you will be hooked.",14%,2014,346,Austria,1.88,0.271676300578035,6.92
Riesling,Emmerich Knoll 2014 Loibner Smaragd Riesling (Wachau),A nose of pure lemon zest also has the faintest notions of ...,$41.00,94,Austria,"A nose of pure lemon zest also has the faintest notions of juniper and bitter orange peel that seem to assert themselves more on the slender, sylph-like body of this incisive wine. That lemony purity illuminates the taut palate and highlights those spicy reaches that are merely hinted at. A subtle wine of immense charm.",12%,2014,321,Austria,2.29268292682927,0.292834890965732,7.82926829268293
Riesling,Franz Hirtzberger 2014 Hochrain Smaragd Riesling (Wachau),Some earthy spice mingles with the citrus zest that does not want ...,$75.00,94,Austria,"Some earthy spice mingles with the citrus zest that does not want to reveal itself quite yet, but there are notions of citron and grapefruit peel. There is a textured intensity at the core of this slender body, something addictive and moreish that you simply want to fathom. Light-bodied but rather seductive with an intensity that slowly creeps up on you.",13%,2014,356,Austria,1.25333333333333,0.264044943820225,4.74666666666667
Riesling,Pichler-Krutzler 2014 Kellerberg Riesling (Wachau),"A very savory, earthy character appears amid the lemon-zest palate that also ...",$55.00,94,Austria,"A very savory, earthy character appears amid the lemon-zest palate that also features a salty, rock-solid statement. This is not for the fainthearted: a compact bundle of pure life with an utterly compelling nature and a lip-smackingly clean finish.",14%,2014,249,Austria,1.70909090909091,0.377510040160643,4.52727272727273
Riesling,Schloss Gobelsburg 2014 Gaisberg Reserve Riesling (Kamptal),"A very subtle nose gives a mere glimpse of lemon zest, the ...",$30.00,93,Austria,"A very subtle nose gives a mere glimpse of lemon zest, the palate delivers a thrillingly pure and exquisitely honest flavor that suggests clear mountain lakes and clean Alpine air. This is bracing and fresh, delicate and lemon-scented from the first sniff to the last echoing aftertaste. This could be dangerously addictive with its concentrated but ultraslender features.",13%,2014,372,Austria,3.1,0.25,12.4
Riesling,Hiedler 2014 Kogelberg Reserve Riesling (Kamptal),Nervy bundles of flavor present themselves on the nose and unfold fully ...,,93,Austria,"Nervy bundles of flavor present themselves on the nose and unfold fully on the palate: a streak of pure lemon, the zest of pink grapefruit, the tanginess of Seville orange rind. They close in with a laser-sharp focus on a slender but concentrated palate that finishes with exquisite purity. This is raciness defined.",14%,2014,316,Austria,,0.294303797468354,
Riesling,Weszeli 2014 Steinmassl Reserve Riesling (Kamptal),Oh the purity of freshly cut red-cheeked apples illuminated by equally pure ...,$30.00,93,Austria,"Oh the purity of freshly cut red-cheeked apples illuminated by equally pure lemon freshness. Yes this is high in the acidity stakes but comes with so much purity of fruit, one simply has to rejoice in all the liveliness. This offeing has a real spring in its step and will enliven any occasion, balanced and concentrated as it is.",13%,2014,330,Austria,3.1,0.281818181818182,11
Riesling,Franz Hirtzberger 2014 Singerriedl Smaragd Riesling (Wachau),Perfumed hints of mandarin and stone fruit are subtly expressed on the ...,$95.00,93,Austria,"Perfumed hints of mandarin and stone fruit are subtly expressed on the nose. The palate is more incisive with fresh lemon zest and a feather-light body which holds fresh sprays of lemony citrus. Light but pleasingly intense, notions of stone mingle with all the lime, lemon and mandarin peel. Beautifully long.",14%,2014,310,Austria,0.978947368421053,0.3,3.26315789473684
